date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:46:26	1253/1253	U-----	200	untouched ('')	application/javascript	date:Sun,%2028%20Nov%202021%2008:00:17%20GMT	https://shibainutoken.me/api/v0/js/core.js?1652784261	C:/My%20Web%20Sites/SHIBAINU/shibainutoken.me/api/v0/js/coref99a.js	(from https://shibainutoken.me/blockchain.php?ref=&xyz=1652784251)
03:46:27	59438/59438	---M--	404	error ('Not%20Found')	text/html	etag:%2262837bda-e82e%22	https://metamask.io/images/favicon.png	C:/My%20Web%20Sites/SHIBAINU/metamask.io/images/favicon.14.delayed	(from https://shibainutoken.me/metamask.php?ref=&xyz=1652784251)
03:46:29	5020/5020	U-----	200	untouched ('OK')	image/svg+xml	date:Sat,%2030%20Oct%202021%2013:13:49%20GMT	https://shibainutoken.me/metamask-logo-horizontal.svg	C:/My%20Web%20Sites/SHIBAINU/shibainutoken.me/metamask-logo-horizontal.svg	(from https://shibainutoken.me/metamask.php?ref=&xyz=1652784251)
03:46:29	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2017%20May%202022%2010:46:36%20GMT	https://shibainutoken.me/fonts/fontawesome/fa-solid-900.eot	C:/My%20Web%20Sites/SHIBAINU/shibainutoken.me/fonts/fontawesome/fa-solid-900.18.delayed	(from https://shibainutoken.me/indexcoba1.css)
03:46:31	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2017%20May%202022%2010:46:38%20GMT	https://shibainutoken.me/fonts/fontawesome/fa-solid-900.woff	C:/My%20Web%20Sites/SHIBAINU/shibainutoken.me/fonts/fontawesome/fa-solid-900.1b.delayed	(from https://shibainutoken.me/indexcoba1.css)
03:46:33	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2017%20May%202022%2010:46:39%20GMT	https://shibainutoken.me/fonts/fontawesome/fa-solid-900.svg	C:/My%20Web%20Sites/SHIBAINU/shibainutoken.me/fonts/fontawesome/fa-solid-900.1d.delayed	(from https://shibainutoken.me/indexcoba1.css)
03:46:35	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2017%20May%202022%2010:46:41%20GMT	https://shibainutoken.me/fonts/fontawesome/fa-regular-400.eot?	C:/My%20Web%20Sites/SHIBAINU/shibainutoken.me/fonts/fontawesome/fa-regular-400.1fd41d.delayed	(from https://shibainutoken.me/indexcoba1.css)
03:46:37	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2017%20May%202022%2010:46:43%20GMT	https://shibainutoken.me/fonts/fontawesome/fa-regular-400.woff	C:/My%20Web%20Sites/SHIBAINU/shibainutoken.me/fonts/fontawesome/fa-regular-400.21.delayed	(from https://shibainutoken.me/indexcoba1.css)
03:46:38	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2017%20May%202022%2010:46:45%20GMT	https://shibainutoken.me/fonts/fontawesome/fa-regular-400.svg	C:/My%20Web%20Sites/SHIBAINU/shibainutoken.me/fonts/fontawesome/fa-regular-400.23.delayed	(from https://shibainutoken.me/indexcoba1.css)
03:46:40	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2017%20May%202022%2010:46:46%20GMT	https://shibainutoken.me/fonts/Roboto/Roboto-Light.ttf	C:/My%20Web%20Sites/SHIBAINU/shibainutoken.me/fonts/Roboto/Roboto-Light.25.delayed	(from https://shibainutoken.me/indexcoba1.css)
03:46:42	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2017%20May%202022%2010:46:48%20GMT	https://shibainutoken.me/fonts/Roboto/Roboto-Medium.ttf	C:/My%20Web%20Sites/SHIBAINU/shibainutoken.me/fonts/Roboto/Roboto-Medium.27.delayed	(from https://shibainutoken.me/indexcoba1.css)
03:46:43	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2017%20May%202022%2010:46:50%20GMT	https://shibainutoken.me/fonts/Roboto/Roboto-Black.ttf	C:/My%20Web%20Sites/SHIBAINU/shibainutoken.me/fonts/Roboto/Roboto-Black.29.delayed	(from https://shibainutoken.me/indexcoba1.css)
03:46:45	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2017%20May%202022%2010:46:51%20GMT	https://shibainutoken.me/fonts/Euclid/EuclidCircularB-RegularItalic-WebXL.ttf	C:/My%20Web%20Sites/SHIBAINU/shibainutoken.me/fonts/Euclid/EuclidCircularB-RegularItalic-WebXL.2b.delayed	(from https://shibainutoken.me/indexcoba1.css)
03:46:47	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2017%20May%202022%2010:46:53%20GMT	https://shibainutoken.me/images/check-white.svg	C:/My%20Web%20Sites/SHIBAINU/shibainutoken.me/images/check-white.2d.delayed	(from https://shibainutoken.me/indexcoba1.css)
